Player,Team,TI,B. Impact,Bo. Impact
Jake Fraser-McGurk,DC,150.15,150.15,-
Khaleel Ahmed,DC,74.04,-,74.04
Piyush Chawla,MI,64.4,9.41,54.99
Jasprit Bumrah,MI,63.23,-,63.23
Rasikh Salam,DC,63.05,-,63.05
Shai Hope,DC,54.11,54.11,-
Tilak Varma,MI,47.86,47.86,-
Mukesh Kumar,DC,34.41,-,34.41
Tristan Stubbs,DC,32.75,32.75,-
Suryakumar Yadav,MI,32.47,32.47,-
Tim David,MI,30.35,30.35,-
Mohammad Nabi,MI,30.15,4.06,26.09
Hardik Pandya,MI,24.84,44.13,- 19.28
Luke Wood,MI,15.11,8.38,6.73
Lizaad Williams,DC,13.32,-,13.32
Rishabh Pant,DC,9.6,9.6,-
Nuwan Thushara,MI,8.11,-,8.11
Axar Patel,DC,7.07,4.97,2.1
Ishan Kishan,MI,6.92,6.92,-
Abishek Porel,DC,6.88,6.88,-
Nehal Wadhera,MI,3.19,3.19,-
Kumar Kushagra,DC,-,-,-
Rohit Sharma,MI,- 6.91,- 6.91,-
Kuldeep Yadav,DC,- 7.94,-,- 7.94
